id,timestamp,sender_account,sender_name,sender_institution,receiver_account,receiver_name,receiver_institution,amount,currency,description,channel
02c54ade-504b-4dd8-ab57-36d6490b43b6,2026-04-15T07:46:57.613095+00:00,CBZ-52339391,Blessing Mukamuri,CBZ Bank,STA-60806024,Tafadzwa Chiwenga,Stanbic Bank,385.81,USD,Insurance premium,bank
94318bf4-5586-4650-847d-5bf8b66a6864,2026-04-15T08:51:46.613095+00:00,+263794335942,Privilege Mhlanga,InnBucks,+263773396987,Munyaradzi Sibanda,OneMoney,1244.88,USD,Salary payment,mobile_money
9ae41130-cce4-4499-9bc2-34087df3f3d4,2026-04-15T10:01:39.613095+00:00,CBZ-52339391,Blessing Mukamuri,CBZ Bank,CBZ-24716857,Farai Mutasa,CBZ Bank,602.48,USD,School fees term 1,bank
aedb42cc-0bdb-4610-9034-3ae75d9e137c,2026-04-15T15:23:40.613095+00:00,ZB -70291817,Hope Mukamuri,ZB Bank,CBZ-13999315,Tafadzwa Chigumba,CBZ Bank,979.96,USD,Funeral cover,bank
0be6e5f8-974e-485f-ae9a-bf951451d7c5,2026-04-15T18:05:20.613095+00:00,NED-38538251,Simbarashe Mhlanga,Nedbank ZW,FBC-20709497,Tinashe Chirwa,FBC Bank,1253.19,USD,Internet bill ZOL,bank
7b9e0f53-d7fe-4bdd-82c6-7c6498d2e372,2026-04-15T21:45:22.613095+00:00,CBZ-31429110,Tapiwa Dube,CBZ Bank,STA-58181396,Shamiso Marufu,Stanbic Bank,1447.26,USD,Grocery purchase Pick n Pay,bank
ff9cda0c-6f39-4878-b452-2d6b6c91f15a,2026-04-15T22:30:23.613095+00:00,+263797700828,Shamiso Chigumba,EcoCash,FBC-30868105,Kudzai Madondo,FBC Bank,1471.18,USD,Funeral cover,mobile_money
6d318548-15b7-4a32-becd-c84899492e30,2026-04-15T23:42:20.613095+00:00,CBZ-24716857,Farai Mutasa,CBZ Bank,NED-87490893,Kudzai Zhou,Nedbank ZW,413.04,USD,Internet bill ZOL,bank
8a7fa23f-812c-40b3-92ba-ba941c85008a,2026-04-16T12:23:24.613095+00:00,FBC-94374605,Anesu Nyathi,FBC Bank,FBC-20709497,Tinashe Chirwa,FBC Bank,760.59,USD,Medical aid premium,bank
37be3418-f9de-41d8-b356-3312d31153b1,2026-04-16T16:05:55.613095+00:00,CBZ-13999315,Tafadzwa Chigumba,CBZ Bank,+263785218028,Privilege Chirwa,InnBucks,96.13,USD,Electricity ZESA token,mobile_money
cbc9d51e-8d44-47df-863c-2ae8b084c363,2026-04-16T20:05:43.613095+00:00,+263777402509,Anesu Banda,EcoCash,ZB -85345555,Privilege Mukamuri,ZB Bank,185.9,USD,Rent payment Avondale,mobile_money
f1640298-05ea-49a9-9fc5-dfc15fdb95a8,2026-04-16T22:42:50.613095+00:00,CBZ-13999315,Tafadzwa Chigumba,CBZ Bank,STE-66661351,Anesu Ncube,Steward Bank,124.77,USD,School fees term 1,bank
058bf978-daa0-4490-8fe8-7fc9fe3b4b32,2026-04-16T22:58:03.613095+00:00,+263792458591,Hope Mhlanga,InnBucks,FBC-95899313,Privilege Chigumba,FBC Bank,801.45,USD,Electricity ZESA token,mobile_money
17ecb8e2-51fa-481e-9831-3cfe27edd4f3,2026-04-17T02:37:48.613095+00:00,ZB -85345555,Privilege Mukamuri,ZB Bank,+263773396987,Munyaradzi Sibanda,OneMoney,843.56,USD,Grocery purchase Pick n Pay,mobile_money
941c9ee4-ced3-481c-a4ca-2e5227410a14,2026-04-17T03:04:07.613095+00:00,ZB -99949389,Munyaradzi Zhou,ZB Bank,CBZ-52339391,Blessing Mukamuri,CBZ Bank,598.0,USD,Rent payment Avondale,bank
b8c57364-a702-4320-8158-e94e46a79804,2026-04-17T04:40:36.613095+00:00,ZB -99949389,Munyaradzi Zhou,ZB Bank,STA-16150444,Tinashe Madondo,Stanbic Bank,91.6,USD,Family support,bank
dd12d7ea-e9c1-4b88-8543-481e8bf64ec1,2026-04-17T06:48:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,CBZ-13999315,Tafadzwa Chigumba,CBZ Bank,9864.54,USD,Shell company invoice payment offshore,bank
c6790f92-9060-4638-9962-a2fece634fc1,2026-04-17T06:49:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263794335942,Privilege Mhlanga,InnBucks,8607.42,USD,Urgent transfer offshore consultancy,mobile_money
dfc7b9e7-a305-4ce4-8c16-6d61622e39ee,2026-04-17T06:51:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263792458591,Hope Mhlanga,InnBucks,8994.02,USD,Urgent transfer offshore consultancy,mobile_money
93deadc7-9c3c-403c-b12f-606845af37b3,2026-04-17T06:54:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -28728463,Rumbi Mutasa,ZB Bank,8912.29,USD,Shell company invoice payment offshore,bank
06e8c29a-1654-4c1a-9ec3-41ab3b385bdd,2026-04-17T06:54:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -77827638,Anesu Moyo,ZB Bank,9692.07,USD,Smurfing settlement under threshold,bank
d227eb46-6be6-4af3-9fc2-0ed05a0fd8b8,2026-04-17T07:18:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -28728463,Rumbi Mutasa,ZB Bank,8716.34,USD,Consultancy fee untraceable cash withdrawal,bank
51472c57-85b0-464c-9e48-cb8fde65a313,2026-04-17T07:21:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -77827638,Anesu Moyo,ZB Bank,9051.55,USD,Shell company invoice payment offshore,bank
c1330236-698e-448b-8194-7753e92f116c,2026-04-17T07:21:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263794335942,Privilege Mhlanga,InnBucks,9747.24,USD,Smurfing settlement under threshold,mobile_money
d9fc771d-8c05-4766-8f87-ba9a1df11958,2026-04-17T07:25:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263792458591,Hope Mhlanga,InnBucks,9941.18,USD,Loan repayment cash settlement immediate,mobile_money
eb5bf05b-e999-4c4c-9098-1cd803b9eb0e,2026-04-17T07:25:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,CBZ-13999315,Tafadzwa Chigumba,CBZ Bank,9608.44,USD,Crypto trade urgent settlement,bank
8cba2330-cc3e-4dfc-bb66-ec3a96dda4dc,2026-04-17T07:47:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263794335942,Privilege Mhlanga,InnBucks,9300.39,USD,Personal favor wire transfer no questions,mobile_money
8c29189a-cb3a-4f46-9e2e-ecfd0b75ae3d,2026-04-17T07:49:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -77827638,Anesu Moyo,ZB Bank,8617.72,USD,Crypto trade urgent settlement,bank
9a40db86-9cf7-4a3e-9f79-28cc5d804131,2026-04-17T07:50:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263792458591,Hope Mhlanga,InnBucks,9892.16,USD,Loan repayment cash settlement immediate,mobile_money
4b2ef408-0da1-4c05-b7cd-4fb343c44283,2026-04-17T07:56:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -28728463,Rumbi Mutasa,ZB Bank,9324.51,USD,Urgent transfer offshore consultancy,bank
310d49df-9290-43bc-80f1-e5f71a1c57e2,2026-04-17T07:57:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,CBZ-13999315,Tafadzwa Chigumba,CBZ Bank,9407.0,USD,Consultancy fee untraceable cash withdrawal,bank
3a41444f-7a85-45b1-99c2-8f576ab5bac5,2026-04-17T08:18:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,CBZ-13999315,Tafadzwa Chigumba,CBZ Bank,9519.33,USD,Shell company invoice payment offshore,bank
5d3c5f7f-d374-464f-8e0f-634f333e2d77,2026-04-17T08:21:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -28728463,Rumbi Mutasa,ZB Bank,9092.35,USD,Shell company invoice payment offshore,bank
bd70c135-9a1f-4b61-b617-8efbd0f1f4cc,2026-04-17T08:21:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263792458591,Hope Mhlanga,InnBucks,8547.33,USD,Consultancy fee untraceable cash withdrawal,mobile_money
58ac1ef3-5682-43dc-b20f-114650707b54,2026-04-17T08:23:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263794335942,Privilege Mhlanga,InnBucks,9355.19,USD,Crypto trade urgent settlement,mobile_money
f5283ed9-71ad-4a45-9ec3-54a9f2fccc1f,2026-04-17T08:27:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -77827638,Anesu Moyo,ZB Bank,9496.71,USD,Consultancy fee untraceable cash withdrawal,bank
d6fcf739-d46b-4801-9c95-acd3a2fb4a4d,2026-04-17T08:40:14.613095+00:00,STA-61019678,Munyaradzi Banda,Stanbic Bank,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,777.36,USD,Rent payment Avondale,bank
91e4b6a5-3423-4d1f-b537-17cec961b811,2026-04-17T08:49:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263792458591,Hope Mhlanga,InnBucks,8716.03,USD,Consultancy fee untraceable cash withdrawal,mobile_money
e5bc0af0-9852-4d38-ad3c-8662779bd19d,2026-04-17T08:51:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,CBZ-13999315,Tafadzwa Chigumba,CBZ Bank,8603.54,USD,Personal favor wire transfer no questions,bank
c73dedb3-2363-4c87-aff1-90945516d40f,2026-04-17T08:53:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263794335942,Privilege Mhlanga,InnBucks,8680.31,USD,Consultancy fee untraceable cash withdrawal,mobile_money
86aaeeb7-3b9b-4c32-a576-1bd362cb23c0,2026-04-17T08:54:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -77827638,Anesu Moyo,ZB Bank,9362.81,USD,Consultancy fee untraceable cash withdrawal,bank
91c2bbf5-6228-4495-bd07-dae29656be1c,2026-04-17T08:57:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -28728463,Rumbi Mutasa,ZB Bank,8666.43,USD,Crypto trade urgent settlement,bank
4b943df8-4ea6-4521-9cc6-fb824de95c7e,2026-04-17T09:18:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -77827638,Anesu Moyo,ZB Bank,9375.38,USD,Urgent transfer offshore consultancy,bank
777784a6-e397-4609-922a-98e6e176a152,2026-04-17T09:22:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,CBZ-13999315,Tafadzwa Chigumba,CBZ Bank,8557.8,USD,Smurfing settlement under threshold,bank
f8988ae3-e744-41e2-a1f2-a04b66d4989c,2026-04-17T09:25:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -28728463,Rumbi Mutasa,ZB Bank,9866.88,USD,Gift remittance multiple parties large,bank
38010b44-bece-4e09-ac36-2b19dc5ac4d7,2026-04-17T09:26:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263792458591,Hope Mhlanga,InnBucks,9216.0,USD,Loan repayment cash settlement immediate,mobile_money
e1e52c74-e361-4163-ba1a-137c21d82c85,2026-04-17T09:27:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263794335942,Privilege Mhlanga,InnBucks,8831.94,USD,Urgent transfer offshore consultancy,mobile_money
304aaa16-9e54-46e0-ab91-b878dee4ec59,2026-04-17T09:49:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -28728463,Rumbi Mutasa,ZB Bank,9691.06,USD,Urgent transfer offshore consultancy,bank
036b241e-6b2d-457a-9d6d-9b67fc791cfd,2026-04-17T09:51:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263792458591,Hope Mhlanga,InnBucks,9182.23,USD,Shell company invoice payment offshore,mobile_money
eb49850f-02a0-48d8-913b-4df6b5db8670,2026-04-17T09:52:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263794335942,Privilege Mhlanga,InnBucks,9004.54,USD,Quick deposit then split transfers,mobile_money
7c068568-5d34-43e8-9fce-36e7bcf601e9,2026-04-17T09:54:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -77827638,Anesu Moyo,ZB Bank,9680.66,USD,Loan repayment cash settlement immediate,bank
4a21329e-e9f8-46f0-b0c2-fb11e1875aa2,2026-04-17T09:57:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,CBZ-13999315,Tafadzwa Chigumba,CBZ Bank,8763.16,USD,Smurfing settlement under threshold,bank
7c236cf9-a866-461c-86fc-fa8081e6a740,2026-04-17T10:21:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,+263792458591,Hope Mhlanga,InnBucks,9096.89,USD,Shell company invoice payment offshore,mobile_money
4c8599ca-00f2-42d7-83c0-9ca23e54ee3b,2026-04-17T10:22:51.613095+00:00,STA-13356886,Munyaradzi Chigumba,Stanbic Bank,ZB -28728463,Rumbi Mutasa,ZB Bank,9471.69,USD,Personal favor wire transfer no questions,bank
